likeCount,dislikeCount,shareCount,commentCount,bookmarkCount,ratingValue,pageViews,clickEvents,scrollDepth,timeOnPage,sessionDuration,sessionCount,commentText,sentimentScore,feedbackCategory,deviceType,browserName,osName,screenResolution,networkType,ipAddress,geoLocation,locale,userTier,interestTags,ageRange,gender,funnelStage,cartItemsCount,abandonedCartFlag,abTestGroup,followerCount,followingCount,groupMemberships,mentionCount,community,like_per_comment,share_per_view,interaction_intensity,engagement_score,activity_ratio
475,63,83,174,112,3.7,593,146,53.9,521.9,1458.2,7,Needs improvement,0.93,Neutral,Desktop,Opera,iOS,1366x768,4G,173.72.220.87,"9.862553, 73.068140",de_DE,Premium,Fitness,55+,Other,Decision,9,True,Variant A,1606,4324,30,23,Sports,2.7298850574712645,0.1399662731871838,403,260.90000000000003,0.35790700864079
654,8,287,268,30,2.8,615,188,34.5,466.5,3044.5,28,Could be better,0.51,Neutral,Desktop,Firefox,MacOS,2560x1440,Ethernet,1.46.213.48,"81.853908, 125.743468",en_GB,Premium,Food,25-34,Male,Awareness,9,True,Variant A,4892,1213,22,9,News,2.4402985074626864,0.4666666666666667,743,404.30000000000007,0.15322713089177203
138,61,200,27,89,4.9,273,155,33.8,68.4,3171.6,26,Awesome!,-0.64,Negative,Tablet,Firefox,Android,1366x768,Ethernet,73.96.46.106,"23.979814, 126.328607",en_GB,Free,Travel,25-34,Male,Consideration,3,False,Control,6007,4416,46,67,News,5.111111111111111,0.7326007326007326,382,129.5,0.02156640181611805
373,16,439,35,49,1.1,52,21,58.0,46.4,506.9,20,Great!,0.68,Positive,Tablet,Opera,Android,2560x1440,WiFi,238.64.150.28,"67.843956, -45.304855",fr_FR,Free,Food,45-54,Male,Awareness,14,False,Variant A,8119,1421,37,39,News,10.657142857142857,8.442307692307692,495,292.79999999999995,0.09153679226671928
688,75,461,110,4,2.7,246,9,98.3,24.3,1496.3,35,Awesome!,0.74,Positive,Mobile,Opera,iOS,2560x1440,WiFi,149.86.61.5,"80.373616, 163.509096",fr_FR,Enterprise,Food,18-24,Female,Consideration,17,False,Variant A,239,1375,39,42,News,6.254545454545455,1.8739837398373984,580,435.9,0.016240058811735614
775,99,359,256,31,1.1,884,94,94.1,383.4,2216.4,1,Could be better,0.11,Negative,Desktop,Chrome,iOS,1280x720,WiFi,119.6.189.252,"88.229256, -119.970342",fr_FR,Enterprise,Tech,45-54,Other,Consideration,2,True,Variant B,3576,1595,6,34,Tech,3.02734375,0.4061085972850679,709,472.0,0.17298321602598807
24,9,137,203,109,2.3,878,1,39.9,527.1,2708.9,38,Could be better,0.95,Negative,Desktop,Safari,Android,1280x720,4G,156.91.53.81,"-53.101274, 83.891542",de_DE,Premium,Food,55+,Female,Decision,6,True,Control,1484,3453,17,71,News,0.11822660098522167,0.1560364464692483,341,102.20000000000002,0.19458082616560227
92,60,383,199,30,3.5,91,65,33.5,207.8,439.3,26,Awesome!,-0.49,Positive,Desktop,Safari,Linux,1440x900,WiFi,242.38.1.139,"33.828395, -139.994426",en_US,Free,Tech,55+,Male,Awareness,11,True,Control,1313,3302,17,23,Tech,0.4623115577889447,4.208791208791209,647,194.5,0.47302526747097656
752,32,363,150,38,1.9,97,168,39.1,145.8,1745.9,10,Great!,0.46,Neutral,Desktop,Opera,MacOS,1440x900,4G,240.45.67.2,"35.991651, 117.170650",fr_FR,Free,Fitness,35-44,Male,Decision,9,False,Variant A,9034,3187,36,87,Sports,5.013333333333334,3.7422680412371134,681,443.5,0.0835099375680165
61,41,124,225,157,3.9,232,15,24.1,44.5,1900.2,22,Needs improvement,0.1,Negative,Mobile,Opera,MacOS,1366x768,Ethernet,169.101.111.92,"-28.076746, 179.367795",en_US,Free,Fitness,18-24,Other,Consideration,6,True,Variant A,1529,3501,8,80,Sports,0.27111111111111114,0.5344827586206896,364,122.3,0.023418587517103462
44,90,16,246,6,3.1,726,20,42.3,539.4,552.9,19,Not bad,-0.38,Positive,Mobile,Opera,Windows,1440x900,5G,3.220.173.61,"-27.519235, -145.893789",en_GB,Enterprise,Fitness,35-44,Other,Consideration,15,False,Variant B,6194,4659,48,21,Sports,0.17886178861788618,0.02203856749311295,282,72.2,0.9755832881172002
876,42,30,182,100,1.8,331,110,23.5,108.4,1183.8,45,Awesome!,0.94,Neutral,Tablet,Firefox,Linux,1920x1080,4G,105.11.14.74,"-11.240179, 166.924745",es_ES,Enterprise,Travel,18-24,Male,Decision,2,False,Control,220,1253,18,60,News,4.813186813186813,0.09063444108761329,322,405.8,0.09156952187869573
858,54,73,246,76,2.4,74,153,74.4,558.9,497.6,36,Awesome!,0.75,Neutral,Mobile,Firefox,Linux,1920x1080,Ethernet,177.39.35.150,"-60.485836, -88.836096",en_GB,Free,Food,25-34,Other,Awareness,17,True,Variant A,5608,111,37,28,News,3.4878048780487805,0.9864864864864865,472,421.90000000000003,1.1231913183279743
785,87,266,223,98,4.9,880,64,60.1,300.1,3224.4,23,Great!,0.07,Neutral,Tablet,Edge,iOS,2560x1440,Ethernet,26.211.109.126,"-80.340449, 178.415932",en_US,Free,Fitness,55+,Female,Awareness,8,True,Control,2917,3736,39,2,Sports,3.5201793721973096,0.30227272727272725,553,448.20000000000005,0.09307157920853493
241,36,293,248,157,3.7,13,6,53.4,57.1,2525.2,6,Not bad,-0.02,Positive,Mobile,Chrome,Windows,1366x768,5G,61.134.104.119,"9.956387, -66.164312",es_ES,Free,Fitness,35-44,Other,Consideration,12,False,Control,2715,4610,8,4,Sports,0.9717741935483871,22.53846153846154,547,249.6,0.022612070331062887
820,71,79,235,90,3.6,403,19,78.1,23.9,2754.4,37,Could be better,-0.39,Neutral,Tablet,Edge,Android,1440x900,5G,38.120.66.76,"17.605382, 88.639428",fr_FR,Enterprise,Food,25-34,Male,Decision,4,True,Variant B,4759,2611,26,86,News,3.4893617021276597,0.19602977667493796,333,407.7,0.00867702584954981
244,5,376,266,124,1.4,466,43,85.2,540.7,1661.9,5,Needs improvement,-0.23,Negative,Desktop,Firefox,iOS,1280x720,WiFi,63.147.154.73,"26.838422, 30.785269",de_DE,Free,Tech,55+,Male,Consideration,3,False,Variant A,4699,4656,48,82,Tech,0.9172932330827067,0.8068669527896996,685,276.0,0.3253505024369697
881,33,222,83,83,2.9,818,61,97.3,503.6,1393.7,41,Great!,-0.78,Negative,Mobile,Safari,MacOS,1366x768,4G,102.237.53.204,"-25.798514, -137.840653",en_US,Enterprise,Tech,25-34,Female,Consideration,7,False,Variant B,5283,3373,42,72,Tech,10.614457831325302,0.2713936430317848,366,443.90000000000003,0.3613403171414221
553,29,129,293,160,1.8,609,176,37.0,224.9,302.4,9,Awesome!,0.31,Neutral,Desktop,Chrome,MacOS,1920x1080,Ethernet,163.126.1.244,"30.952025, 25.903059",en_GB,Free,Travel,55+,Female,Consideration,10,True,Control,9877,3783,32,53,News,1.8873720136518772,0.21182266009852216,598,334.50000000000006,0.7437169312169313
113,38,282,25,120,4.5,857,131,74.3,547.2,1705.7,27,Could be better,-0.23,Neutral,Desktop,Opera,MacOS,1280x720,4G,38.9.105.106,"-79.782197, -111.085240",en_US,Premium,Fitness,55+,Female,Decision,3,True,Control,1523,3613,3,84,Sports,4.52,0.3290548424737456,438,146.8,0.3208067069238436
608,45,169,104,126,2.9,952,169,73.9,64.5,956.9,48,Needs improvement,-0.11,Negative,Desktop,Opera,Linux,1440x900,5G,149.165.155.134,"-48.937339, -4.166444",en_GB,Free,Tech,45-54,Other,Awareness,8,False,Variant B,6977,1249,35,56,Tech,5.846153846153846,0.17752100840336135,442,327.30000000000007,0.06740516250391891
218,21,412,60,92,2.0,605,116,61.9,316.9,966.8,38,Not bad,0.69,Negative,Desktop,Safari,MacOS,1920x1080,WiFi,116.9.123.137,"-61.716394, -100.600227",fr_FR,Enterprise,Tech,25-34,Other,Consideration,14,False,Variant A,2785,2502,8,49,Tech,3.6333333333333333,0.6809917355371901,588,232.0,0.32778237484484896
305,44,51,180,49,1.7,780,34,78.1,504.5,1942.9,34,Great!,-0.67,Neutral,Desktop,Edge,Linux,1920x1080,5G,101.179.140.127,"54.782292, 121.574026",en_US,Premium,Food,55+,Female,Decision,3,True,Variant B,342,1193,29,95,News,1.6944444444444444,0.06538461538461539,265,178.20000000000002,0.25966338977816666
74,51,489,282,124,1.7,540,152,46.1,120.3,1960.2,45,Not bad,-0.58,Negative,Tablet,Opera,Windows,1440x900,Ethernet,147.74.4.65,"-11.956328, 74.397869",en_US,Enterprise,Tech,35-44,Female,Consideration,10,False,Control,2955,2545,16,98,Tech,0.2624113475177305,0.9055555555555556,923,245.1,0.06137128864401591
615,25,65,34,80,3.4,506,140,97.3,236.7,3102.9,37,Great!,-0.0,Negative,Desktop,Chrome,Windows,2560x1440,WiFi,248.173.68.83,"54.116812, -134.634210",en_US,Enterprise,Fitness,35-44,Male,Consideration,19,True,Control,7746,1597,38,83,Sports,18.08823529411765,0.12845849802371542,239,280.3,0.07628347674755873
950,47,41,282,196,3.1,100,38,32.3,406.3,1631.9,7,Needs improvement,0.2,Neutral,Desktop,Safari,Linux,1440x900,Ethernet,133.246.209.154,"-46.343842, -39.035361",en_US,Enterprise,Tech,45-54,Male,Decision,7,False,Variant B,2882,2917,33,48,Tech,3.368794326241135,0.41,361,468.30000000000007,0.24897358906795758
617,47,195,160,137,3.1,600,24,83.8,419.0,1183.6,10,Needs improvement,0.78,Neutral,Desktop,Safari,Android,1440x900,Ethernet,20.239.10.170,"-52.201463, 133.888722",de_DE,Premium,Fashion,35-44,Male,Decision,10,True,Variant A,3097,4744,10,47,Gaming,3.85625,0.325,379,351.0,0.3540047313281514
687,4,73,32,180,4.9,365,31,28.9,346.1,576.1,34,Needs improvement,-0.33,Negative,Desktop,Opera,Windows,1280x720,4G,159.142.47.148,"-69.622576, -19.047738",en_GB,Premium,Fashion,35-44,Other,Awareness,6,False,Control,51,4256,9,58,Gaming,21.46875,0.2,136,321.09999999999997,0.6007637562923104
359,97,147,238,147,4.5,431,108,42.6,526.1,619.2,36,Great!,-0.65,Negative,Tablet,Firefox,MacOS,1440x900,4G,197.215.141.5,"48.178244, -2.997103",fr_FR,Premium,Tech,35-44,Other,Consideration,15,True,Variant B,6823,3304,34,39,Tech,1.5084033613445378,0.34106728538283065,493,249.99999999999997,0.8496447028423773
809,11,414,78,105,4.2,969,31,53.3,201.4,2615.5,46,Not bad,0.7,Neutral,Tablet,Firefox,Linux,1280x720,Ethernet,97.205.12.173,"31.690962, 70.692951",en_US,Free,Fitness,18-24,Female,Decision,11,True,Variant A,8113,1728,23,91,Sports,10.371794871794872,0.42724458204334365,523,473.90000000000003,0.07700248518447715
41,24,410,10,165,1.9,115,177,16.8,257.6,2728.1,17,Not bad,-0.73,Negative,Desktop,Safari,Android,2560x1440,WiFi,39.21.87.67,"-9.450986, -51.428158",fr_FR,Enterprise,Food,18-24,Male,Decision,4,True,Variant A,397,164,36,69,News,4.1,3.5652173913043477,597,157.9,0.09442469117700965
151,97,110,160,97,3.4,408,17,87.8,339.7,3147.2,5,Needs improvement,0.13,Positive,Tablet,Opera,Android,2560x1440,WiFi,35.37.142.153,"-12.542084, -104.074478",de_DE,Free,Tech,45-54,Other,Decision,13,False,Control,6497,2157,36,75,Tech,0.94375,0.2696078431372549,287,135.1,0.10793721403152008
590,51,389,142,192,4.2,208,68,61.2,62.4,2153.9,37,Awesome!,-0.24,Neutral,Desktop,Opera,Linux,1280x720,Ethernet,191.118.142.243,"35.290659, -43.759665",de_DE,Premium,Food,25-34,Female,Awareness,18,True,Control,9024,4437,2,7,News,4.154929577464789,1.8701923076923077,599,400.29999999999995,0.028970704303820975
895,65,7,105,156,2.4,21,13,95.8,33.2,1524.2,42,Could be better,-0.99,Neutral,Desktop,Edge,Linux,1366x768,4G,111.175.116.109,"-5.649426, -139.821475",de_DE,Enterprise,Fitness,55+,Other,Awareness,5,False,Variant B,1128,3172,2,48,Sports,8.523809523809524,0.3333333333333333,125,396.70000000000005,0.021781918383414253
596,51,149,229,178,4.3,415,40,37.7,426.6,3166.8,28,Needs improvement,-0.81,Positive,Mobile,Opera,Linux,1280x720,Ethernet,159.117.214.250,"2.168366, 141.741279",fr_FR,Free,Fitness,18-24,Male,Decision,10,True,Control,7800,1299,14,30,Sports,2.6026200873362444,0.35903614457831323,418,346.70000000000005,0.13471011746873815
188,46,422,103,116,2.9,517,84,91.0,452.4,3004.9,42,Could be better,-0.57,Neutral,Desktop,Chrome,iOS,2560x1440,WiFi,148.29.168.142,"11.317647, 3.894927",es_ES,Premium,Food,18-24,Female,Awareness,5,True,Control,3290,3637,22,20,News,1.825242718446602,0.816247582205029,609,234.0,0.15055409497820227
870,58,215,172,5,4.8,233,85,68.0,550.3,906.4,2,Could be better,0.11,Neutral,Tablet,Firefox,MacOS,1366x768,4G,248.95.110.172,"-45.816790, 179.184241",de_DE,Enterprise,Travel,35-44,Female,Decision,14,True,Control,3581,3379,20,68,News,5.058139534883721,0.9227467811158798,472,447.4,0.6071270962047661
715,23,201,250,190,4.0,774,194,95.5,91.5,326.7,44,Needs improvement,-0.71,Neutral,Mobile,Edge,Android,1366x768,4G,193.85.39.166,"-6.614677, -28.550647",en_US,Enterprise,Fitness,55+,Male,Awareness,12,False,Control,558,624,14,13,Sports,2.86,0.2596899224806202,645,415.3,0.2800734618916437
421,65,107,120,168,2.7,255,173,96.4,220.8,392.5,1,Could be better,0.24,Negative,Mobile,Firefox,Linux,1440x900,WiFi,40.231.145.142,"82.646390, -88.734783",en_US,Free,Food,18-24,Female,Consideration,0,False,Variant A,6665,4948,15,18,News,3.5083333333333333,0.4196078431372549,400,241.3,0.562547770700637
987,72,36,265,92,2.7,57,147,91.7,493.0,1599.4,2,Awesome!,-0.85,Negative,Mobile,Safari,Windows,1366x768,WiFi,31.55.137.7,"-57.526376, -67.867104",fr_FR,Enterprise,Fashion,25-34,Other,Consideration,3,False,Variant A,5183,647,23,70,Gaming,3.7245283018867923,0.631578947368421,448,467.8,0.308240590221333
431,97,131,75,149,2.6,607,168,29.9,15.8,3028.5,32,Awesome!,-0.48,Negative,Tablet,Safari,MacOS,1440x900,WiFi,160.73.144.126,"-54.901009, 93.391898",de_DE,Free,Fashion,45-54,Other,Decision,12,True,Variant B,6343,3658,9,83,Gaming,5.746666666666667,0.2158154859967051,374,241.6,0.005217104176985307
867,70,324,25,81,4.4,305,136,63.2,555.1,1430.0,3,Could be better,-0.29,Positive,Mobile,Chrome,Windows,1366x768,4G,196.227.139.226,"-14.164874, -123.889546",en_US,Premium,Tech,25-34,Male,Decision,9,True,Variant B,8914,3961,44,13,Tech,34.68,1.062295081967213,485,457.1,0.3881818181818182
618,67,420,0,169,2.0,578,125,98.1,337.5,3039.6,48,Great!,-0.91,Positive,Tablet,Firefox,iOS,1920x1080,5G,184.81.250.222,"83.981970, -87.097720",en_US,Enterprise,Fitness,55+,Female,Decision,9,True,Variant A,1738,1499,22,99,Sports,0.0,0.726643598615917,545,390.1,0.11103434662455587
279,43,439,149,150,3.4,440,106,11.4,253.4,2262.4,47,Great!,0.51,Neutral,Tablet,Opera,MacOS,1920x1080,4G,33.201.98.184,"79.977035, -134.386005",de_DE,Premium,Fashion,55+,Male,Consideration,3,False,Variant B,37,3453,33,20,Gaming,1.8724832214765101,0.9977272727272727,694,288.1,0.11200495049504951
280,30,376,238,187,3.5,170,132,88.0,176.8,3269.5,30,Could be better,-0.89,Neutral,Mobile,Opera,Android,1366x768,5G,145.11.212.106,"-51.132865, -114.819687",fr_FR,Free,Food,45-54,Female,Consideration,12,True,Variant B,2700,4642,14,60,News,1.1764705882352942,2.211764705882353,746,291.1,0.05407554671968191
801,38,69,230,19,3.5,689,78,84.8,59.0,1823.5,24,Needs improvement,-0.55,Neutral,Tablet,Opera,Windows,1366x768,Ethernet,20.109.27.72,"-27.102928, -73.748328",en_US,Premium,Tech,25-34,Other,Decision,19,False,Variant B,3179,58,32,33,Tech,3.482608695652174,0.10014513788098693,377,389.0,0.03235536057033178
844,82,219,22,79,2.4,430,124,62.8,454.7,691.5,16,Needs improvement,-0.67,Negative,Desktop,Opera,Android,1440x900,WiFi,100.191.22.87,"-54.578423, 123.887613",fr_FR,Enterprise,Travel,45-54,Female,Awareness,9,True,Variant A,4007,3894,39,27,News,38.36363636363637,0.5093023255813953,365,415.59999999999997,0.6575560375994215
765,14,338,59,80,4.6,643,53,57.9,388.2,657.7,26,Could be better,0.01,Positive,Desktop,Safari,Android,2560x1440,Ethernet,193.72.76.228,"41.071124, -175.250518",de_DE,Free,Food,45-54,Female,Awareness,12,False,Variant A,8023,3431,48,89,News,12.966101694915254,0.5256609642301711,450,427.2,0.5902387106583549
